+----------------+-----------+---------------+
| account_number | person_id | creation_year |
+----------------+-----------+---------------+
| 52833142       | 677560    | 2010          |
| 50665819       | 893762    | 2010          |
| 49610011       | 686048    | 2010          |
| 79758906       | 279793    | 2010          |
| 36709431       | 486361    | 2010          |
| 47306903       | 651217    | 2010          |
| 55656186       | 753885    | 2010          |
| 65190958       | 779942    | 2010          |
| 45468795       | 952462    | 2010          |
| 24064261       | 430845    | 2010          |
| 86363979       | 948985    | 2010          |
| 45096649       | 580086    | 2010          |
| 70992522       | 504758    | 2010          |
| 14180174       | 764823    | 2010          |
| 46222318       | 539960    | 2011          |
| 42445987       | 745650    | 2011          |
| 34939061       | 985539    | 2011          |
| 55322348       | 484375    | 2011          |
| 39167741       | 810563    | 2011          |
| 56648519       | 477251    | 2011          |
| 70504954       | 804716    | 2011          |
| 26581257       | 857325    | 2011          |
| 18363023       | 975354    | 2011          |
| 90209473       | 632023    | 2011          |
| 27482737       | 210641    | 2011          |
| 26567509       | 210245    | 2011          |
| 65992992       | 795190    | 2011          |
| 32212020       | 230917    | 2012          |
| 26013199       | 514354    | 2012          |
| 21021018       | 267176    | 2012          |
+----------------+-----------+---------------+
